feature,importance
mfcc_delta2_3_min,0.049928356
mfcc_7_max,0.030995935
mfcc_delta_4_mean,0.025643865
mfcc_delta2_3_skew,0.019470295
mfcc_9_min,0.019447986
mfcc_0_min,0.018997863
mfcc_delta2_6_median,0.018748408
mfcc_delta2_1_kurtosis,0.01811925
mfcc_0_median,0.017326718
mfcc_delta_0_mean,0.014340823
mfcc_delta2_2_min,0.0133371595
mfcc_delta2_4_min,0.012088295
mfcc_delta_9_max,0.011789788
mfcc_delta2_2_std,0.011251176
mfcc_delta2_5_skew,0.011249488
mfcc_delta2_4_max,0.010940033
mfcc_delta_1_kurtosis,0.010816028
mfcc_7_kurtosis,0.010668454
mfcc_delta2_3_median,0.010599367
mfcc_11_min,0.010476171
mfcc_delta_4_min,0.010365401
mfcc_5_skew,0.010183802
mfcc_11_median,0.009958951
mfcc_delta2_4_mean,0.009856304
mfcc_delta_7_max,0.009845188
mfcc_0_std,0.009782
mfcc_delta2_2_max,0.009577857
mfcc_delta_5_median,0.009470456
mfcc_0_skew,0.009258292
mfcc_delta2_6_std,0.009196945
mfcc_5_median,0.009173203
mfcc_6_std,0.009162062
mfcc_delta2_3_kurtosis,0.00911687
mfcc_delta_4_max,0.009048107
mfcc_delta_9_median,0.009010578
mfcc_delta2_4_std,0.0089427335
mfcc_delta2_5_max,0.008933643
mfcc_delta_9_skew,0.008884502
mfcc_delta_9_min,0.0088836225
mfcc_delta2_6_skew,0.008846053
mfcc_delta2_3_max,0.008811707
mfcc_delta2_6_max,0.008789175
mfcc_0_mean,0.0087771425
mfcc_delta_9_kurtosis,0.0087684
mfcc_1_mean,0.008730373
mfcc_delta2_4_kurtosis,0.00864343
mfcc_0_max,0.008524388
mfcc_7_skew,0.008420511
mfcc_delta_3_kurtosis,0.008413764
mfcc_delta2_2_median,0.008367931
mfcc_8_std,0.008343971
mfcc_delta2_2_skew,0.00833
mfcc_delta2_5_mean,0.008299642
mfcc_5_kurtosis,0.008210626
mfcc_delta_4_median,0.0080783805
mfcc_9_median,0.008076646
mfcc_delta_2_std,0.008011367
mfcc_delta2_3_mean,0.008003185
mfcc_delta_5_kurtosis,0.007987679
mfcc_delta_2_median,0.007909975
mfcc_delta_4_skew,0.007898506
mfcc_11_std,0.007882644
mfcc_delta2_3_std,0.00782311
mfcc_8_mean,0.007813914
mfcc_delta_7_skew,0.00778892
mfcc_delta2_5_kurtosis,0.007780861
mfcc_6_mean,0.0077442178
mfcc_delta_0_median,0.007743054
mfcc_6_median,0.0077334656
mfcc_delta_2_min,0.007731556
mfcc_delta_3_skew,0.0076828552
mfcc_9_skew,0.0076828157
mfcc_delta_4_std,0.0076660207
mfcc_delta_8_std,0.007664804
mfcc_delta_0_min,0.007632245
mfcc_2_std,0.0076176194
mfcc_delta_6_mean,0.0076057343
mfcc_delta_7_kurtosis,0.007584605
mfcc_delta_8_mean,0.0075817984
mfcc_8_max,0.0075613824
mfcc_delta_4_kurtosis,0.007543957
mfcc_delta2_6_min,0.007543569
mfcc_2_mean,0.0075019286
mfcc_delta_6_min,0.007487077
mfcc_delta_0_max,0.0074661775
mfcc_6_min,0.007409066
mfcc_9_kurtosis,0.0073213186
mfcc_8_min,0.0072980803
mfcc_11_max,0.007276022
mfcc_delta_2_skew,0.0072607985
mfcc_delta_0_kurtosis,0.007217783
mfcc_delta_1_mean,0.0071740486
mfcc_delta_6_std,0.007142006
mfcc_delta_0_skew,0.0071316874
mfcc_delta_6_max,0.007130484
mfcc_6_max,0.0071106046
mfcc_10_mean,0.0070810625
mfcc_delta2_4_median,0.007031037
mfcc_delta_6_median,0.0068229167
mfcc_delta_2_max,0.006599906
